Player,Club,Injury,Until,Market Value
Callum Wilson,Newcastle United,Back injury,,€13.00m
Kortney Hause,Aston Villa,Knee surgery,,€2.00m
Omari Hutchinson,Ipswich Town,Ill,,€18.00m
Wilson Odobert,Tottenham Hotspur,Thigh problems,,€18.00m
Armando Broja,Everton FC,Achilles tendon problems,,€18.00m
Matz Sels,Nottingham Forest,Adductor injury,,€7.00m
Oscar Bobb,Manchester City,Broken leg,,€25.00m
Kieran Tierney,Arsenal FC,Hamstring injury,,€10.00m
Axel Tuanzebe,Ipswich Town,Thumb injury,,€3.00m
Yerson Mosquera,Wolverhampton Wanderers,Cruciate ligament injury,,€6.00m
Yankuba Minteh,Brighton & Hove Albion,Muscle injury,,€28.00m
Tyrone Mings,Aston Villa,Cruciate ligament tear,,€10.00m
Niclas Füllkrug,West Ham United,Achilles tendon irritation,,€15.00m
Chermiti,Everton FC,Foot injury,,€9.00m
Taiwo Awoniyi,Nottingham Forest,unknown injury,,€28.00m
Tyrell Malacia,Manchester United,Knee injury,,€18.00m
Martin Ødegaard,Arsenal FC,Ankle sprain,,€110.00m
Chiedozie Ogbene,Ipswich Town,Achilles tendon rupture,,€8.00m
Bastien Meupiyou,Wolverhampton Wanderers,Meniscus damage,,€2.50m
Heung-min Son,Tottenham Hotspur,Thigh problems,,€45.00m
Chadi Riad,Crystal Palace,Knee injury,,€15.00m
Jacob Murphy,Newcastle United,Hamstring injury,,€15.00m
Boubacar Kamara,Aston Villa,Knee injury,,€38.00m
Harvey Elliott,Liverpool FC,Broken foot,,€35.00m
Saša Lukić,Fulham FC,Shoulder injury,,€10.00m
Ibrahim Sangaré,Nottingham Forest,Hamstring injury,,€30.00m
Daniel Gore,Manchester United,Shoulder injury,,€900k
Takehiro Tomiyasu,Arsenal FC,Knee injury,,€35.00m
Jack Taylor,Ipswich Town,Hamstring injury,,€1.80m
Enso González,Wolverhampton Wanderers,Cruciate ligament tear,,€4.00m
Djed Spence,Tottenham Hotspur,Groin injury,,€8.00m
Matheus França,Crystal Palace,Rib fracture,,€15.00m
Matt Targett,Newcastle United,Skin disease,,€8.00m
Tyler Adams,AFC Bournemouth,Back injury,,€15.00m
Sasa Kalajdzic,Wolverhampton Wanderers,Cruciate ligament tear,,€5.00m
Timothy Castagne,Fulham FC,Hamstring injury,,€17.00m
Danilo,Nottingham Forest,Foot injury,,€28.00m
Solly March,Brighton & Hove Albion,Knee injury,,€15.00m
Kieran Trippier,Newcastle United,Hamstring injury,,€10.00m
Bukayo Saka,Arsenal FC,Leg injury,,€140.00m
Jacob Greaves,Ipswich Town,Muscle injury,,€20.00m
Micky van de Ven,Tottenham Hotspur,Hamstring injury,,€55.00m
Séamus Coleman,Everton FC,Foot injury,,€500k
Rodri,Manchester City,Cruciate ligament tear,,€130.00m
Boubacar Traoré,Wolverhampton Wanderers,Meniscus injury,,€6.00m
Sam Morsy,Ipswich Town,Muscle injury,,€900k
Will Smallbone,Southampton FC,Knee injury,,€5.00m
Matt O'Riley,Brighton & Hove Albion,Ankle injury,,€20.00m
Jamaal Lascelles,Newcastle United,Cruciate ligament injury,"Nov 1, 2024",€7.00m
Rico Henry,Brentford FC,Muscle injury,"Nov 9, 2024",€20.00m
Alisson,Liverpool FC,Hamstring injury,"Nov 10, 2024",€28.00m
Kevin De Bruyne,Manchester City,Hamstring muscle injury,"Nov 20, 2024",€45.00m
Sven Botman,Newcastle United,Cruciate ligament surgery,"Dec 2, 2024",€45.00m
Hee-chan Hwang,Wolverhampton Wanderers,Ankle injury,"Dec 15, 2024",€25.00m
Igor Thiago,Brentford FC,Meniscus injury,"Dec 31, 2024",€25.00m
Gavin Bazunu,Southampton FC,Achilles tendon rupture,"Jan 1, 2025",€15.00m
Josh Dasilva,Brentford FC,Knee surgery,"Mar 15, 2025",€10.00m
Aaron Hickey,Brentford FC,Hamstring injury,"Apr 2, 2025",€25.00m
